"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency","experiment_type"
"708","f","true","0","0","mov","switch","congruent","2"
"1184","j","false","0","0","or","switch","congruent","2"
"1403","f","true","0","0","or","repetition","incongruent","2"
"720","j","false","0","0","or","repetition","incongruent","2"
"1330","j","false","0","0","mov","switch","incongruent","2"
"740","f","false","0","0","or","switch","incongruent","2"
"1331","j","true","0","0","mov","switch","congruent","2"
"1183","j","true","0","0","or","switch","congruent","2"
"844","j","true","0","0","mov","switch","incongruent","2"
"1220","f","true","0","0","or","switch","congruent","2"
"1282","j","true","0","0","or","repetition","incongruent","2"
"827","j","true","0","0","mov","switch","incongruent","2"
"1081","f","false","0","0","or","switch","congruent","2"
"663","j","false","0","0","mov","switch","congruent","2"
"770","f","false","0","0","mov","repetition","congruent","2"
"1095","f","false","0","0","or","switch","incongruent","2"
"1119","j","false","0","0","or","repetition","congruent","2"
"1324","j","false","0","0","mov","switch","incongruent","2"
"1210","f","false","0","0","or","switch","incongruent","2"
"675","j","false","0","0","mov","switch","incongruent","2"
"1285","f","false","0","0","or","switch","congruent","2"
"593","j","true","0","0","mov","switch","congruent","2"
"1000","j","true","0","0","mov","repetition","incongruent","2"
"1253","j","true","0","0","or","switch","congruent","2"
"721","j","true","0","0","mov","switch","congruent","2"
"908","f","true","0","0","or","switch","incongruent","2"
"656","j","false","0","0","mov","switch","congruent","2"
"1115","j","false","0","0","or","switch","congruent","2"
"811","f","true","0","0","mov","switch","incongruent","2"
"1158","j","false","0","0","or","switch","congruent","2"
"703","j","false","0","0","mov","switch","congruent","2"
"1107","j","false","0","0","mov","repetition","incongruent","2"
"874","f","false","0","0","mov","repetition","congruent","2"
"525","j","false","0","0","mov","repetition","congruent","2"
